97;52;808.661602974
97;52;824.108564854
54;54;17.3210160732
55;58;6.96727991104
75;17;153.908987045
36;76;2.76200485229
87;27;2.70255589485
77;26;11.4768528938
50;22;2.93252396584
93;73;5.15411710739
33;41;2.51343417168
33;52;5.13658809662
33;67;2.84014797211
51;86;8.54588699341
16;57;4.04121685028
0;80;2.45946383476
23;60;2.04514789581
3;13;2.01020288467
17;76;4.15633797646
31;23;6.19096708298
5;67;2.15886712074
86;6;2.01035809517
64;28;7.18902206421
52;2;2.12588381767
1;18;1.55021977425
67;26;4.0318980217
90;71;3.10631513596
26;86;2.2650680542
53;99;4.11823701859
45;61;3.61920785904
63;98;7.27873396873
24;73;4.15039300919
45;29;7.56678104401
82;20;2.29093194008
31;8;2.70941495895
85;18;5.36446499825
4;6;1.43756389618
88;0;1.72639107704
31;12;3.68848013878
20;23;2.50672292709
48;50;2.3577029705
69;81;4.36611413956
14;79;3.17328596115
41;95;7.52841687202
69;49;3.33250689507
59;62;17.4220600128
99;69;4.61882615089
32;80;2.57301783562
